parid,elev
3249101,25
3409604,25
3409604,25
3410408,10
3410076,15
3132131,15
3413512,10
3412389,10
3410157,10
3412401,15
3413156,10
3410394,5
3418255,5
3418646,10
3137671,10
3413512,10
3413628,10
3419294,15
3420420,15
3426649,25
3426673,25
3425642,10
3459601,5
3425685,5
3137761,10
3460090,5
3425804,5
3426631,20
3426835,25
3460120,5
3460286,5
3461193,5
3427106,5
3137779,10
3427203,5
3463285,5
3434234,5
3484231,5
3484274,5
3463331,5
3486315,5
3463471,20
3137914,15
3463595,25
3498011,10
3498011,10
3503724,5
3533950,10
3511166,10
3532279,10
3569547,15
3138392,20
3538056,10
3575555,25
3575385,25
4490639,10
4745513,30
4745548,30
4748326,30
4797921,30
4886192,10
4745513,30
4882944,30
4820451,25
4820591,25
3394500,15
4926089,25
4797947,30
3394364,15
3394631,15
4992561,25
5049078,25
5029387,25
5029468,25
5083071,25
5216632,10
5215521,10
5197514,25
5083241,25
5216489,10
3394445,15
5216616,10
5216675,10
5216721,10
5459543,25
5604543,15
5222241,30
5029336,25
5055949,30
5055892,30
5055922,30
5055931,30
5060918,15
5061035,20
5056121,30
5082911,25
5056121,30
5056139,30
5056147,30
5061078,20
5061175,20
5056163,30
5061191,20
5082946,25
5061256,20
5061272,20
5061302,20
5056171,30
5061370,20
5061370,20
5061418,20
5083195,25
5082954,25
5061434,20
5061434,20
5061493,15
5085244,15
5061493,15
5085317,15
5082954,25
5095584,15
5061493,15
5095584,15
5114724,10
5114899,10
5114911,10
3513428,5
5082954,25
3514238,10
3521714,5
5114937,10
5114937,10
3522125,5
5115062,10
5197506,25
5115151,10
5215130,10
5082971,25
5115151,10
5216195,10
5115160,10
5216233,10
5216250,10
5216195,10
5251713,20
5216276,10
5082989,25
5216276,10
5268705,25
5216349,10
6615926,10
5798712,30
5312909,5
3534531,10
5222250,30
5603148,20
5082997,25
5603164,15
5723526,5
5883710,15
5603172,15
5603181,15
5909212,15
6076791,30
5603181,15
5083039,25
5603288,10
6107858,5
6183384,5
5603300,10
5955931,30
5603351,15
5603369,15
6505756,10
5083063,25
5603407,15
5603512,20
6529442,10
6648654,10
3540662,10
6657122,10
5992608,20
6696519,5
6761060,10
4534377,10
4533915,10
5061469,20
3528425,10
6610240,25
4533842,10
3575091,30
4808019,20
3428412,25
3574745,30
5638456,25
4807667,20
5352030,20
3139437,10
3488229,10
6668884,15
6633291,20
6668884,15
6668817,15
6668841,15
4535497,10
4589589,10
6668787,15
6633363,20
4590986,10
4590226,10
5256243,20
5256162,20
4591079,10
4591109,10
5256472,20
6302723,15
3138813,10
6633339,20
3138791,10
3139011,10
3138937,10
4626379,10
3540654,10
3540620,10
3540735,10
3540581,10
5425177,25
6632154,20
3098552,10
3097432,15
3540701,10
3100719,10
3101791,10
3101502,15
3103963,15
5988597,20
3136241,15
6633355,20
5490777,15
5490823,15
5490823,15
5491064,15
5630358,30
6802599,15
5630323,30
5631681,30
3513517,10
5632199,30
3513517,10
5632199,30
3513690,5
3513746,10
5630803,30
5988490,20
3513746,10
5631818,30
3514025,10
5630510,30
3514157,10
5630757,30
5630463,30
3514637,10
3520530,5
6632804,20
5630463,30
5631940,30
5631737,30
3521277,5
5631737,30
3521722,5
3521439,5
3521544,5
3521986,5
6632782,20
3521706,5
3532465,5
3522087,5
3522371,5
3528387,10
3528387,10
6632332,20
3109279,20
3522508,5
3529391,10
3522541,5
3529448,10
3532716,5
3522664,5
