parid,elev
3478711,10
3478932,10
3478941,10
3478959,10
3479181,10
3478720,10
3478738,10
3478746,10
3478754,10
3478967,10
3478762,10
3478771,10
3478789,10
3478975,10
3479190,10
3478797,10
3478801,10
3478983,10
3478991,10
3479009,10
3479017,10
3478819,10
3479025,10
3479041,10
3479050,10
3479203,10
3478827,10
3478835,10
3479068,10
3478843,5
3479076,10
3479084,10
3478851,5
3479092,10
3479211,10
3478860,5
3479106,10
3479114,10
3478878,5
3478886,5
3479122,10
3479131,10
3479220,10
3479149,10
3479157,10
3478894,10
3480414,20
3479165,10
3479530,10
3479548,5
3479815,5
3479238,10
3479556,10
3479823,5
3479564,10
3479572,10
3479599,10
3479831,5
3479246,10
3479602,10
3479840,5
3479629,5
3479858,5
3479637,5
3479645,5
3479254,10
3479874,5
3479653,5
3479882,5
3479891,5
3479904,5
3479661,5
3479912,5
3479670,5
3479688,5
3479921,5
3479262,10
3479947,5
3479696,5
3479955,5
3479963,5
3479700,5
3479971,5
3479980,5
3479718,5
3479734,5
3479742,5
3479271,10
3479751,5
3479998,5
3480007,5
3480015,5
3479769,5
3479777,5
3480031,10
3479785,5
3479289,10
3479793,5
3480040,5
3480074,5
3480082,5
3480058,5
3479327,10
3480091,5
3480121,5
3480066,5
3480139,10
3480422,20
3480163,5
3480431,20
3480449,20
3479351,5
3480457,20
3480171,5
3480180,10
3480465,20
3480198,15
3480201,15
3480210,15
3480244,20
3480473,20
3480252,20
3479360,10
3480287,10
3480481,25
3480490,10
3480503,15
3480511,30
3480295,10
3480520,30
3480317,10
3480538,30
3479378,10
3480325,10
3480546,30
3480333,10
3480392,20
3480554,30
3479386,10
3480562,30
3480406,20
3480708,10
3480571,30
3480589,30
3480716,10
3480724,5
3480732,5
3479394,10
3480741,5
3480597,30
3480759,5
3480601,30
3480619,30
3480767,5
3480775,5
3480627,30
3479416,10
3480635,30
3480783,5
3480643,30
3480791,5
3480805,5
3480651,10
3480660,10
3480813,5
3479424,10
3480678,10
3480821,5
3480848,5
3480686,5
3480856,5
3480694,5
3480864,5
3479432,5
3480872,5
3480961,5
3480970,5
3480881,5
3480899,5
3480902,5
3479441,5
3480988,5
3480911,5
3480929,5
3480937,5
3480945,5
3480953,5
3480996,5
3481224,5
3481003,5
3479459,10
3481011,5
3481241,5
3481020,5
3481038,5
3481267,5
3481046,5
3481275,5
3481054,5
3479491,10
3481062,5
3481291,5
3481071,5
3481089,5
3481313,5
3481097,5
3481101,5
3481364,5
3479491,10
3481372,5
3481119,5
3481381,5
3481399,5
3481402,5
3479513,10
3481127,5
3481143,5
3481411,5
3481429,5
3481437,5
3479807,5
3481445,5
3481453,5
3481151,5
3481461,5
3481470,5
3481488,5
3481160,5
3481178,5
3481496,5
3481542,5
3481500,5
3481518,5
3481526,5
3481534,5
3481186,5
3481836,10
3481194,5
3481208,5
3481551,5
3481844,10
3481216,5
3481852,10
3481861,10
3481828,10
3482158,5
3482166,10
3481879,10
3481569,5
3482174,10
3481887,10
3482182,10
3481895,10
3482191,10
3481577,5
3481909,10
3481917,10
3482204,10
3482239,10
3482247,10
3481925,10
3481933,10
3481941,10
3482255,10
3481585,5
3481950,10
3482263,5
3482271,5
3482280,5
3481968,10
3482298,5
3482301,10
3481593,5
3482310,10
3481976,10
3482328,10
3482336,10
3481984,10
3482344,10
3482352,10
3481992,10
3481607,5
3482000,10
3482018,10
3482361,10
3482026,10
3482379,5
3482034,10
3482042,10
3482409,5
3481615,5
3482417,5
3482051,10
3482425,5
3482069,10
3482441,5
3482450,5
3482077,10
3482468,5
3481623,10
3482093,10
3482760,10
3482476,5
3482107,10
3482115,10
3482492,5
3482506,5
3482123,5
3481631,10
3482514,5
3482131,5
3482522,5
3482778,10
3482531,5
3482786,10
3482549,5
3482557,10
3482794,10
3481640,10
3482808,10
3482816,10
3482824,10
3482565,10
3482573,10
3482832,10
3482841,10
3482581,10
3481658,10
3482859,10
3482590,10
3482867,10
3482875,5
3482883,5
3481666,10
3482603,10
3482611,10
3482620,10
3482891,5
3482638,10
3482646,10
3481674,10
3482905,5
3482671,15
3482697,15
3482913,5
3482921,5
3482930,5
3482948,5
3482701,15
3482956,10
3481682,10
3482964,10
3482719,10
3482972,10
3482999,10
3482727,10
3483006,10
3482735,10
3481691,10
3482743,10
3483014,10
3482751,10
3483022,10
3483081,10
3483031,10
3481704,10
3483090,10
3483049,10
3483103,10
3483057,10
3483111,10
3481712,10
3483065,10
3483073,10
3483120,10
3483413,10
3483421,10
3483138,10
3483146,10
3483430,10
3483154,5
3483448,10
3481721,10
3483162,5
3483171,5
3483456,10
3483464,10
3483189,5
3483197,5
3483472,10
3481739,10
3483201,5
3483481,10
3483499,10
3483502,5
3483219,5
3483235,5
3483511,5
3483529,5
3483537,5
3483243,5
3481747,10
3483545,5
3483553,5
3483251,5
3483260,5
3483561,5
3483278,5
3483286,5
3481755,10
3483570,5
3483294,5
3483588,10
3483308,5
3483316,5
3483596,10
3483600,10
3483618,10
3483626,10
3481763,10
3483324,5
3483332,10
3483634,10
3483341,10
3483642,10
3483651,10
3483359,10
3483367,10
3483669,10
3481771,10
3483375,10
3483383,10
3483677,10
3483391,10
3483405,10
3483731,10
3483685,10
3483766,10
3481780,10
3483723,10
3483774,5
3484037,10
3483791,5
3483804,5
3481798,10
3483812,5
3484045,10
3483821,5
3484061,10
3484070,10
3483839,5
3483847,5
3483855,5
3483863,5
3481801,10
3484088,10
3483871,5
3483898,5
3484096,10
3483901,5
3484100,10
3484118,10
3484126,10
3481810,10
3483928,5
3484134,10
3484142,10
3483936,5
3483952,5
3484282,5
3484151,10
3483961,10
3483979,10
3484169,10
3484177,10
3484185,10
3483987,10
